block_size,nucleophilic,hydrophobic,aromatic,acidic,amide,basic
1.0,0.7235621521335807,0.7371073620018396,0.8830887786340125,0.819543770858547,0.8790281198686372,0.8306214507229449
2.0,0.18878524073329267,0.19448889336878047,0.09746120553151061,0.13945428539993399,0.10111350574712644,0.1323653791936848
3.0,0.05672249828093984,0.047841042246777626,0.015069143882613744,0.02743242747643672,0.015573686371100164,0.0299448225864916
4.0,0.019422136305253187,0.013481673743495407,0.0032724585664520214,0.0076649429713573185,0.0026683087027914616,0.005336501671432599
5.0,0.0069021887203705385,0.0038933057820000755,0.0006333790773778106,0.00342905343455459,0.0007183908045977011,0.0009666116235047727
6.0,0.0023093789327555563,0.001650560056446634,0.0002902987437981632,0.0011185682326621924,0.00048747947454844007,0.0005235812960650852
7.0,0.0013103779337545571,0.0009701765217281742,5.278158978148422e-05,0.0006784758132541167,0.0001539408866995074,0.00016110193725079545
8.0,0.0006097798305590513,0.00041578993788350324,2.639079489074211e-05,0.00025672057798804414,0.00010262725779967159,0.0
9.0,0.00022055866211710367,7.559817052427331e-05,2.639079489074211e-05,0.00025672057798804414,0.0001282840722495895,8.055096862539772e-05
10.0,0.00015568846737677906,7.559817052427331e-05,7.917238467222633e-05,0.00016503465727802838,2.5656814449917897e-05,0.0
